yr,fdivinc,fdivkg,fintinc,fintinctax,fintexm ,fschcincp,fscorpinc,fscorpinc2,fpartpinc,fpartpinc2,frentincp,fmortded,fresttax,fpenira,fpen,fothdebt,fracfiling,ttwealth,ttdivw,ttintw,ttinttaxw,ttintexmw,ttschcpartw,ttscorw,ttrentw,ttmortw,ttrestw,ttpeniraw,ttpenw,ttothdebt,ttcurrency,fintbottom99,fintop1,fpenlabor,festdivkg,festdiv,festint,festhous,festbus,ttmuni,fnonmort,qequity,qbond,qhousing,qbusiness,qpension,gdpinf,qeqmarket,yieldeq,yieldfix,yieldhous,yieldbus,yieldpen,blowwag,blowlbus,ttestpos,ttkinc,ttkinc2,ttkg,ttdivinc,ttnakinc,ttnalinc,ttintinc,ttestinc,ttrentincp
1980,20.4121,6.939,16.5224,15.4415,,13.1654,4.7547,4.986,12.5744,13.057,46.4714,11.8229,96.1427,,22.882,11.2634,0.9426,7485090,877818,1741618,1627690,113928,1389240,22627,675759,-876581,2773216,0,1100824,-448682,229252,16.45375371,8.748906387,0.777511171,12.80060409,11.87817964,11.51607828,8.930523563,2.530019684,113928,11.2634409,0.159034,-0.075318,0.019858,0.041214,-0.022935,0.090452,0.129280265,0.13821313,0.11444095,0.01648546,0.03408203,0.12074412,1.3027794,1.55303249,4975,271044,266741,77743,40351,521327,1928768,102009,4560,13665
1981,19.3602,7.1277,12.9328,12.0258,,14.1274,4.7547,5.011,13.3632,14.002,55.2844,11.2271,93.0202,,21.3545,9.4649,0.9405,8342664,987145,1867537,1736557,130980,1516732,21322,748649,-962354,3118061,17340,1241938,-474922,261217,12.79625743,7.183908046,0.804769098,15.79262022,13.7907062,11.65514905,13.43167057,3.43232633,130980,9.4649294,0.04474,-0.076193,-0.022188,-0.017016,-0.047008,0.093919,-0.013570642,0.14511262,0.13102188,0.01638263,0.03121692,0.13474975,1.3120942,1.6199398,4558,316460,311055,81543,48163,627645,2132206,140559,3966,12578
1982,17.5702,6.457,12.4239,11.3967,,14.4598,4.7547,5.062,13.6371,14.325,53.6117,10.2314,92.0077,,21.0518,9.5073,0.9234,9002177,1001939,2004033,1838348,165685,1575698,28249,789106,-1014684,3370167,48440,1410360,-505256,294126,11.95999403,7.686395081,0.876964654,12.74141281,9.128139803,8.495578396,9.587940749,2.585991146,165685,9.5073221,0.032651,-0.054718,-0.023996,-0.036633,-0.032999,0.06097,-0.040822089,0.13650153,0.13480272,0.01410399,0.02080215,0.1352537,1.3114306,1.60431347,6086,344647,338739,89791,54039,656748,2236104,157021,5747,13691
1983,19.8555,5.5519,14.1898,12.8697,,13.2813,4.7547,5.11,12.4964,13.159,51.1405,9.6702,88.4292,,21.2762,9.5884,0.9168,9718418,1064493,2245533,2036636,208897,1605605,46746,809113,-1073687,3526751,80103,1654803,-549765,308725,13.39446097,9.009009009,0.985921812,12.76099821,9.726965351,8.761832361,8.780729495,2.280376014,208897,9.5884127,0.008145,-0.034763,0.01656,-0.023863,-0.022837,0.039396,0.084525541,0.14702384,0.12959394,0.01567244,0.02558347,0.13459177,1.3269171,1.51448047,7002,356839,349683,126315,50413,748856,2375103,153805,6529,14700
1984,19.5621,5.0654,14.0416,12.6475,,12.2581,4.7547,5.122,11.4627,12.149,49.8486,9.2407,88.5472,,20.2499,8.7103,0.9305,10501559,1052418,2540180,2287981,252199,1616549,78204,826207,-1179529,3866215,122228,1871394,-612605,320300,13.3836312,8.025682183,1.030284365,12.84570832,9.237435627,8.035821016,8.232198186,2.024344846,252199,8.7102717,-0.00963,-0.032508,0.032448,-0.036586,-0.026055,0.035517,0.032547594,0.16960584,0.13513892,0.01586314,0.03179436,0.14502459,1.3285298,1.6786577,7659,399043,389893,139237,50428,891782,2635594,176369,7138,15396
1985,18.4097,4.4281,15.571,13.8427,,11.071,4.7547,5.175,10.2245,10.967,48.873,9.3609,92.0011,,20.0918,8.6426,0.9349,11637570,1119462,2915666,2592042,323624,1607630,86947,865987,-1346196,4412572,185248,2156573,-702247,335929,14.58947391,9.416195857,1.128609371,10.02187069,7.469721789,7.314029385,6.920311048,1.567628847,323624,8.6426499,0.144804,-0.019061,0.046309,-0.054364,0.024065,0.031978,0.105193009,0.16293472,0.12582616,0.015781,0.0281051,0.13674394,1.3422446,1.60473824,10405,432343,420213,173927,56860,944809,2838225,182109,9730,16341
1986,20.5447,3.1838,18.9994,16.6848,,10.2662,4.7547,5.15,9.55,10.187,48.8727,9.851,93.5018,,19.3958,8.9411,0.931,13006661,1338771,3269811,2871468,398343,1637177,99117,927938,-1548950,4923373,265198,2481140,-790294,403382,17.29231071,13.03780965,1.244040983,18.626565,10.38196801,10.62155974,8.600741401,1.806670628,398343,8.9411203,0.147427,-0.00653,0.078385,-0.026982,0.035511,0.02028,0.211091395,0.11846152,0.11713197,0.01501461,0.01989886,0.11753427,1.3566889,1.63757817,7554,440091,427765,317876,61623,927979,3034184,167640,7007,17754
1987,19.8216,6.2762,,17.695,15.0583,9.468,4.7547,5.21,8.9623,9.416,49.7018,10.1611,103.112,,17.7597,,0.9499,14102514,1399501,3536450,3072058,464392,1702821,166854,978645,-1738095,5373221,340133,2711873,-830269,461381,18.92791586,11.91895113,1.284964627,26.70983486,17.48267532,19.01160192,11.3143182,2.155339169,464392,,-0.071117,-0.024149,0.116477,-0.000114,-0.038419,0.024457,0.084090968,0.11728324,0.1107021,0.01530571,0.02697528,0.11263361,1.3629454,1.59052606,5021,479266,467036,137794,66791,994672,3249917,168966,4324,18706
1988,17.7744,5.7859,,17.3273,16.2066,8.5362,4.7547,5.172,8.0772,8.498,45.5014,10.4115,107.2201,36.1155,16.7763,,0.9568,15219595,1438916,3845347,3313842,531505,1802883,265181,1006688,-1941004,5858069,401533,2944182,-862869,460669,18.90909485,11.29943503,1.311879371,25.92312208,15.73604523,18.06091472,10.53110211,1.975675026,531505,,-0.055272,-0.02805,0.088402,0.01006,-0.035925,0.035051,0.065727895,0.12505978,0.10756778,0.01594359,0.02836606,0.11252629,1.3664993,1.52800137,4461,563863,548306,153019,77330,1089610,3534464,186982,4094,21177
1989,20.6561,7.2364,,15.7661,15.3797,8.57,4.7547,5.224,8.1478,8.535,41.8934,10.1984,106.1079,33.7764,16.8423,,0.9604,16638931,1753247,4105423,3532793,572630,1897724,296746,1042360,-2156811,6379371,468648,3304101,-913222,461343,16.83401866,11.77856302,1.406217177,31.50665979,18.62495257,16.16833546,9.470291969,1.93729956,572630,,0.067145,-0.029281,0.071996,0.005923,-0.003028,0.038893,0.170309581,0.10697458,0.10977344,0.01467794,0.02138633,0.10895776,1.3912519,1.59259749,4475,619812,603630,143741,81309,1149293,3777426,220016,3958,23986
