yr,fracfiling,ttwealth,ttdivw,ttintw,ttinttaxw,ttintexmw,ttschcpartw,ttscorw,ttrentw,ttmortw,ttrentmortw,ttrestw,ttpeniraw,ttpenw,fraceqpen,ttothdebt,ttcurrency,ttundtr_kg,ttundtr_div,ttundtr_int,ttundtr_bus,ttundtr_rent,ttfainc,ttfkcot,ttfkmik,ttfkprk,ttproptax_res,ttproptax_bus,ttfkinc,ttfkhou,ttfkhoumain,ttfkhourent,ttfkequ,ttfkfix,ttfkbus,ttfkpen,ttfkmor,ttfknmo,ttflinc,ttflemp,ttfllbu,ttflprl,ttsalestax,ttflwag,ttflsup,ttoacont,ttdicont,tthicont,ttuicont,ttsecont_oa,ttsecont_di,ttsecont_hi,ttptinc,ttplcon,ttinvincpen,ttpenben,ttuidiben,ttssben,ttuiben,ttssiben,ttsnapben,ttworkcompben,ttvetben,ttnonvetben,tttanfben,ttothben,ttmedicare,ttmedicaid,ttmedicaidenroll,ttothinkind,ttkindben,ttcolexp,tteducexp,ttnpishinc,ttgovint,tttax,ttben,ttprimsupgov,ttprisupss,ttprisupenprivate,payrolltaxer,pensioncont,healthcont,othbenefits,ttfedtax,ttstatetax,ttcred,ttestatetax,fracestp0p90,fracestp90p95,fracestp95p99,fracestp99p995,fracestp995p999,fracestp999p9999,fracesttop001,ttothcon,ttdiinc,ttdikin,ttninc,private_saving,piksaezden,piksaezwag,piksaezbus,piksaezint,piksaezdiv,piksaezren,piksaezdenKG,hwequ0,bond0,currency0,nonmort0,rental0,ownerhome0,ownermort0,hwbus0,hwpen0,flemp0,flmil0,fkhoumain0,fkhourent0,fkequ0,fkfix0,fkbus0,fkpen0,fkmor0,fknmo0,gdpdeflator,nideflator,cpipiksaez,pcedeflator,totadults20,adults65p,population,tottaxunits,minwage,paycap,ssrate,oarate,dirate,hirate,stdyr_s,stdyr_h,stdyr_m,snapded3,snapded4,snapded5,snapded6,snapdedkid,povcut1,povcut2,povcut3,povcut4,povcut5,povcut6,povcut7,povcut8,povcutadd,snapben1,snapben2,snapben3,snapben4,snapben5,snapben6,snapben7,snapben8,snapbenadd,snapbenmin,snapassn,snapasse,ssiress,ssiresc,ssicuts,ssicutc,snapparticip
1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,,159163.78,39311.27,24754.06,24027.38,726.69,61873.27,0.00,11256.15,-4017.14,-1535.49,21161.09,0.00,3948.19,0.03,-3444.43,4321.31,0.00,0.00,0.00,0.00,0.00,33896.75,20.33,2406.93,203.34,699.00,910.50,9611.87,3372.21,2126.31,1245.90,1803.21,1693.79,3026.01,246.85,-451.00,-79.21,24284.88,18051.64,5616.16,617.08,820.43,0.00,162.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33773.58,162.71,0.92,40.45,0.00,0.00,0.00,0.00,0.00,0.00,200.04,0.00,0.00,0.00,0.00,0.00,0.00,39.79,39.79,2436.10,,0.00,132.71,2647.43,2675.94,-27.90,0.00,122.26,0.00,162.71,0.00,0.00,0.00,197.18,0.00,0.00,0,0,0,0,0,0,0,0.00,33802.08,31365.98,33764.04,0.061978,27630.89,18924.22,5078.55,1200.76,1597.14,830.23,27630.89,0.246986,0.155526,0.027150,-0.021641,0.070721,0.132952,-0.025239,0.388740,0.024806,0.546433,0.170004,0.062729,0.036756,0.053197,0.050443,0.089271,0.006808,-0.013305,-0.002337,20.438477,20.90862143,22.21585224,20.2654453,56687,,97225.00,37700.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,,165036.40,37979.32,27444.78,26569.79,874.99,62229.95,0.00,12603.25,-4429.97,-1693.29,23650.63,0.00,4391.23,0.03,-3855.23,5022.44,0.00,0.00,0.00,0.00,0.00,31746.65,18.16,2297.30,122.27,776.66,1011.67,9313.60,3392.00,2138.79,1253.21,1695.68,1610.89,2962.83,232.72,-492.70,-87.82,22433.06,16708.20,5360.36,364.50,486.78,0.00,150.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31631.14,150.60,2.35,37.44,0.00,0.00,0.00,0.00,0.00,0.00,187.30,0.00,0.00,0.00,0.00,0.00,0.00,37.26,37.26,2298.47,,0.00,133.79,2505.88,2523.03,-16.59,0.00,113.16,0.00,150.60,0.00,0.00,28.00,184.61,0.00,0.00,0,0,0,0,0,0,0,0.00,31648.29,29349.82,31612.86,0.065889,27948.16,19392.78,5136.86,1151.08,1410.83,856.60,27948.16,0.230127,0.166295,0.030432,-0.023360,0.076367,0.143306,-0.026842,0.377068,0.026608,0.534991,0.171637,0.067371,0.039475,0.053413,0.051172,0.093327,0.006901,-0.015520,-0.002766,20.17428987,20.63835723,21.92062497,20.00349477,57986,,99111.00,38513.30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,183646.91,45329.62,30482.17,29458.87,1023.29,65949.13,0.00,13950.36,-4842.80,-1851.09,26140.17,0.00,4834.28,0.03,-4266.03,6070.03,0.00,0.00,0.00,0.00,0.00,33742.25,19.04,2360.39,113.38,854.33,1112.84,9967.20,3634.16,2291.48,1342.68,1881.77,1781.72,3053.14,250.86,-537.48,-96.98,23775.05,17930.54,5507.57,336.94,450.32,0.00,161.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33616.97,161.62,3.85,40.18,0.00,0.00,0.00,0.00,0.00,0.00,199.02,0.00,0.00,0.00,0.00,0.00,0.00,39.59,39.59,2444.39,,0.00,151.08,2673.69,2683.00,-8.70,0.00,121.44,0.00,161.62,0.00,0.00,41.00,196.17,0.00,0.00,0,0,0,0,0,0,0,0.00,33626.27,31181.89,33591.17,0.079367,28973.61,20014.80,5325.34,1272.04,1475.68,885.75,28973.61,0.246830,0.165982,0.033053,-0.023230,0.075963,0.142339,-0.026370,0.359108,0.026324,0.539037,0.165571,0.067911,0.039792,0.055769,0.053228,0.090484,0.007010,-0.015929,-0.002874,19.71104555,20.16445695,21.70430301,19.54417227,59028,,100546.00,39154.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,,208957.65,55714.21,33817.90,32646.30,1171.60,72902.23,0.00,15297.46,-5255.63,-2008.88,28629.71,0.00,5277.32,0.03,-4676.84,7251.30,0.00,0.00,0.00,0.00,0.00,42638.06,73.57,2728.14,243.16,932.00,1214.00,12963.03,4136.22,2608.05,1528.17,3723.35,2038.35,3478.67,282.00,-588.33,-107.23,29675.03,22642.29,6365.65,667.09,910.25,23159.48,-517.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42479.21,204.09,5.50,50.74,0.00,0.00,0.00,0.00,0.00,0.00,251.61,0.00,0.00,0.00,0.00,0.00,0.00,50.05,50.05,3175.79,,0.00,171.14,3445.82,3477.44,-30.87,0.00,153.35,0.00,204.09,0.00,-721.27,68.00,248.00,0.00,0.00,0,0,0,0,0,0,0,0.00,42510.84,39335.05,42466.92,0.119312,34456.02,23105.44,6333.00,1437.65,2641.43,938.50,35007.60,0.266629,0.161841,0.034702,-0.022382,0.073208,0.137012,-0.025152,0.348885,0.025255,0.543247,0.152728,0.061167,0.035841,0.087325,0.048173,0.081586,0.006246,-0.013798,-0.002515,18.09095962,18.50710432,20.17770066,17.93780195,60063,,101961.00,39790.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,,217521.76,51078.61,37570.92,36251.02,1319.90,78365.22,0.00,16644.56,-5668.46,-2166.68,31119.25,0.00,5720.36,0.03,-5087.64,7778.94,0.00,0.00,0.00,0.00,0.00,50970.93,306.79,3398.09,362.34,1009.66,1315.17,15603.66,4495.09,2834.33,1660.76,4999.40,2261.90,4290.99,311.57,-638.00,-117.29,35367.27,26473.33,7928.87,965.07,1327.41,28982.10,-2508.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50784.46,238.62,7.17,59.32,0.00,0.00,0.00,0.00,0.00,0.00,300.67,0.00,0.00,0.00,0.00,0.00,0.00,59.81,59.81,9222.95,,0.00,222.71,4489.01,9583.43,-5093.51,0.00,179.29,0.00,238.62,0.00,-2747.39,173.00,296.36,0.00,60.62,0.00000,0.00000,0.00000,0.01335,0.13378,0.35716,0.49571,0.00,55878.88,46655.94,50748.22,0.177585,41827.08,28508.26,7687.80,1583.05,3050.13,997.85,42193.27,0.234821,0.172723,0.035762,-0.023389,0.076519,0.143063,-0.026059,0.360264,0.026298,0.533951,0.159920,0.055607,0.032582,0.098083,0.044706,0.084185,0.005783,-0.012517,-0.002301,15.11295834,15.46060035,17.18257322,14.98501237,60914,,103268.00,40386.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,231808.72,48676.96,43488.21,42020.01,1468.20,85056.70,0.00,17991.66,-6081.29,-2324.48,33608.79,0.00,6163.40,0.03,-5498.44,8402.74,0.00,0.00,0.00,0.00,0.00,63049.91,804.85,3805.62,535.14,1087.33,1416.34,18664.03,5024.04,3167.86,1856.19,6508.79,2744.99,4842.73,360.51,-689.37,-127.67,44385.89,34036.31,8879.77,1469.81,2004.94,32600.43,1435.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62810.05,306.79,9.35,76.27,0.00,0.00,0.00,0.00,0.00,0.00,371.17,0.00,0.00,0.00,0.00,0.00,0.00,73.84,73.84,14219.95,,0.00,402.33,6623.97,14664.96,-8039.86,0.00,230.52,0.00,306.79,0.00,1129.09,795.00,365.85,0.00,149.67,0.00000,0.00000,0.00000,0.01335,0.13378,0.35716,0.49571,0.00,70851.04,56631.08,62647.59,0.165296,46568.46,32248.88,8559.26,1573.99,3085.94,1100.39,46912.27,0.209988,0.187604,0.036249,-0.023720,0.077614,0.144985,-0.026234,0.366926,0.026588,0.558320,0.145661,0.050244,0.029440,0.103232,0.043837,0.076808,0.005418,-0.010934,-0.002025,12.8601653,13.15598652,14.62995147,12.75129142,60477,,103208.00,40451.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,,265691.79,59167.17,50231.09,48614.58,1616.51,97042.01,0.00,19338.76,-6494.12,-2482.28,36098.33,0.00,6606.44,0.03,-5909.25,9611.35,0.00,0.00,0.00,0.00,0.00,69884.17,808.50,4340.54,643.86,1164.99,1517.50,21539.90,5349.10,3372.82,1976.28,7617.02,3572.81,5442.76,432.33,-736.80,-137.32,48344.27,36565.70,10127.92,1650.64,2294.50,38482.11,-1916.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69624.18,329.59,12.35,81.94,0.00,0.00,0.00,0.00,0.00,0.00,409.73,0.00,0.00,0.00,0.00,0.00,0.00,81.51,81.51,7896.30,,0.00,728.24,7482.57,8387.54,-903.72,0.00,247.65,0.00,329.59,0.00,-2245.99,1128.00,403.86,0.00,165.21,0.00000,0.00000,0.00000,0.01036,0.10732,0.35834,0.52397,0.00,70529.14,62632.85,69155.94,0.146159,53163.65,38088.46,9771.46,1558.89,2673.94,1070.90,54237.82,0.222691,0.189058,0.036175,-0.022241,0.072786,0.135865,-0.024442,0.365243,0.024865,0.541730,0.150048,0.048263,0.028279,0.108995,0.051457,0.077883,0.005854,-0.010543,-0.001965,11.27269907,11.53200394,12.73766045,11.17726464,61758,,104514.00,41052.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,,273462.24,58283.03,54223.99,52459.18,1764.81,97575.94,0.00,20685.86,-6906.95,-2640.07,38587.87,0.00,7049.48,0.03,-6320.05,10283.06,0.00,0.00,0.00,0.00,0.00,80682.33,892.40,4985.22,772.94,1242.66,1618.67,23727.96,5763.81,3634.31,2129.50,8153.56,4058.45,6198.05,487.53,-786.10,-147.33,56954.38,43212.49,11632.18,2109.71,2882.65,41513.07,1699.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80374.66,389.50,15.01,96.83,0.00,0.00,0.00,0.00,0.00,0.00,472.87,0.00,0.00,0.00,0.00,0.00,0.00,94.07,94.07,5614.15,,0.00,869.14,8563.15,6181.09,2383.49,0.00,292.66,0.00,389.50,0.00,1309.92,1270.00,466.09,0.00,190.68,0.00000,0.00000,0.00084,0.01446,0.13299,0.34390,0.50780,0.00,77992.61,72378.45,79813.19,0.084182,56062.05,41078.72,9127.20,1709.30,3099.40,1047.42,57199.79,0.213130,0.198287,0.037603,-0.023111,0.075644,0.141109,-0.025257,0.356817,0.025779,0.556190,0.149718,0.045045,0.026394,0.101058,0.050632,0.076820,0.005712,-0.009743,-0.001826,9.765825186,9.990467577,10.99684686,9.683147924,63117,,106461.00,41909.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,,264869.11,55500.26,56857.29,54944.18,1913.11,85095.12,0.00,22032.97,-7319.77,-2797.87,41077.41,0.00,7492.53,0.03,-6730.85,10864.16,0.00,0.00,0.00,0.00,0.00,64741.12,526.40,3881.11,416.48,1320.33,1719.84,19558.56,5978.49,3769.67,2208.82,4786.00,4241.04,5024.34,505.82,-822.26,-154.87,45182.56,34987.45,9055.93,1139.18,1555.66,33258.30,1729.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64487.35,315.36,16.82,78.40,0.00,0.00,0.00,0.00,0.00,0.00,378.35,0.00,0.00,0.00,0.00,0.00,0.00,75.26,75.26,4734.31,,0.00,881.70,6722.71,5187.92,1535.93,0.00,236.96,0.00,315.36,0.00,1413.79,1075.00,372.93,0.00,152.56,0.00000,0.00000,0.00168,0.01558,0.13220,0.33065,0.51988,0.00,62952.56,58218.25,63859.43,0.055530,45161.89,33180.28,6636.36,1690.34,2476.95,1177.96,45615.63,0.209538,0.214662,0.041017,-0.025412,0.083184,0.155086,-0.027635,0.321272,0.028288,0.554399,0.143497,0.058227,0.034118,0.073925,0.065952,0.077607,0.007368,-0.012701,-0.002392,11.22112463,11.47924314,12.3099032,11.12612683,64360,,108538.00,42835.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,,280328.13,66680.33,60153.49,58092.07,2061.42,81359.23,0.00,23380.07,-7732.60,-2955.67,43566.95,0.00,7935.57,0.03,-7141.66,12126.76,0.00,0.00,0.00,0.00,0.00,66222.55,504.63,4034.59,377.22,1397.99,1821.00,19273.60,6460.85,4073.82,2387.03,3845.94,4354.52,5134.25,509.11,-867.05,-164.02,46948.95,36431.80,9414.04,1103.11,1480.33,35280.73,1151.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65957.91,328.38,17.90,81.64,0.00,0.00,0.00,0.00,0.00,0.00,386.87,0.00,0.00,0.00,0.00,0.00,0.00,76.96,76.96,4529.27,,0.00,924.95,6460.27,4993.11,1468.34,0.00,246.74,0.00,328.38,0.00,822.69,719.00,381.33,0.00,156.00,0.00000,0.00000,0.00252,0.01670,0.13141,0.31740,0.53196,0.00,64490.74,59961.47,65297.60,0.094424,48546.75,35105.00,7431.63,1772.56,2754.71,1482.85,49599.87,0.237865,0.214582,0.043259,-0.025476,0.083403,0.155414,-0.027584,0.290229,0.028308,0.563379,0.145578,0.061517,0.036046,0.058076,0.066187,0.077530,0.007257,-0.013093,-0.002477,12.07336194,12.35108439,13.14364166,11.97114912,65237,,110049.00,43542.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,,294820.11,73544.02,63249.32,61037.48,2211.84,81155.33,0.00,25135.06,-8627.07,-3297.56,47035.80,0.00,8832.96,0.03,-8131.42,12626.11,0.00,0.00,0.00,0.00,0.00,77990.64,946.13,4232.20,551.42,1536.76,2001.76,23989.47,6990.04,4407.50,2582.55,7581.00,4590.45,5403.87,582.96,-971.34,-187.52,54001.17,42670.00,9875.12,1456.05,2007.47,38971.18,3698.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77676.38,384.61,25.27,95.62,0.00,0.00,0.00,0.00,0.00,0.00,456.58,0.00,0.00,0.00,0.00,0.00,0.00,90.82,90.82,5268.37,,0.00,928.43,7987.26,5815.77,2172.86,0.00,288.99,0.00,384.61,0.00,3314.21,861.00,450.03,0.00,184.10,0.00000,0.00000,0.00337,0.01782,0.13062,0.30415,0.54405,0.00,75504.89,70236.52,77062.21,0.087304,56061.23,38660.99,9680.99,2227.08,3344.21,2147.96,57315.11,0.249454,0.214535,0.042827,-0.027581,0.085256,0.159541,-0.029262,0.275271,0.029960,0.562278,0.130128,0.056513,0.033114,0.097204,0.059304,0.069289,0.007030,-0.012455,-0.002404,11.73501072,12.0049501,12.91214895,11.63566237,66498,,111947.00,44408.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,,307623.31,79604.61,66433.08,64068.71,2364.38,79819.64,0.00,27297.94,-10003.16,-3823.55,51483.98,0.00,10184.69,0.03,-9700.15,12502.68,0.00,0.00,0.00,0.00,0.00,78676.32,852.38,4468.76,476.10,1675.53,2182.52,24331.18,7651.00,4824.26,2826.74,6997.39,4692.69,5670.81,663.72,-1121.65,-222.78,54345.14,42654.25,10427.10,1263.80,1739.90,38880.56,3773.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78350.53,384.47,36.90,95.58,0.00,0.00,0.00,0.00,0.00,0.00,460.85,0.00,0.00,0.00,0.00,0.00,0.00,91.67,91.67,4962.11,,0.00,892.16,7752.40,5514.64,2239.16,0.00,288.88,0.00,384.47,0.00,3389.22,662.00,454.25,0.00,185.83,0.00000,0.00000,0.00421,0.01894,0.12983,0.29090,0.55613,0.00,76112.76,71150.65,77784.16,0.090413,56717.18,38478.81,10054.20,2311.35,3552.96,2319.86,58413.66,0.258773,0.215956,0.040643,-0.031533,0.088738,0.167360,-0.032518,0.259472,0.033108,0.555056,0.135687,0.061318,0.035929,0.088939,0.060218,0.072078,0.007864,-0.014257,-0.002832,11.726995,11.99675,12.88692991,11.62771452,67945,,114109.00,45384.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,,335971.77,96477.39,70276.83,67759.92,2516.92,82101.29,0.00,29460.82,-11379.26,-4349.55,55932.15,0.00,11536.42,0.03,-11268.88,12835.00,0.00,0.00,0.00,0.00,0.00,82902.58,1102.27,4661.46,488.16,1814.30,2363.28,26465.67,7760.40,4893.24,2867.16,8770.89,4856.72,5856.11,746.38,-1266.34,-258.49,56436.91,44324.07,10876.74,1236.11,1724.27,42759.57,1564.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82553.93,399.52,48.46,99.33,0.00,0.00,0.00,0.00,0.00,0.00,485.87,0.00,0.00,0.00,0.00,0.00,0.00,96.65,96.65,5682.34,,0.00,895.65,8382.95,6264.86,2119.56,0.00,300.19,0.00,399.52,0.00,1164.98,704.00,478.91,0.00,195.92,0.00000,0.00000,0.00337,0.01589,0.12206,0.30731,0.55137,0.00,80435.84,74753.51,82006.94,0.103645,59773.66,41084.40,10039.21,2293.03,4100.75,2256.27,63292.02,0.287159,0.209175,0.038203,-0.033541,0.087688,0.166479,-0.033870,0.244370,0.034337,0.546625,0.134137,0.059024,0.034585,0.105798,0.059248,0.070638,0.008338,-0.015275,-0.003118,11.52236287,11.78741074,12.56782498,11.4248148,69137,,115829.00,46190.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,,354892.79,110941.79,74094.38,71424.92,2669.46,82875.79,0.00,29826.72,-12691.17,-4912.76,56796.48,0.00,12888.15,0.03,-12837.60,12998.25,0.00,0.00,0.00,0.00,0.00,88706.47,1517.40,4640.55,677.64,1746.14,2274.49,28981.30,7563.81,4769.28,2794.53,11588.56,4965.78,5749.59,824.18,-1414.38,-296.25,59725.17,47275.79,10827.95,1621.44,2299.08,44515.73,2760.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88327.11,426.12,59.18,105.94,0.00,0.00,0.00,0.00,0.00,0.00,520.27,0.00,0.00,0.00,0.00,0.00,0.00,103.49,103.49,6045.66,,0.00,893.56,9294.70,6669.43,2626.85,0.00,320.18,0.00,426.12,0.00,2333.94,735.00,512.81,0.00,209.79,0.00000,0.00000,0.00252,0.01284,0.11430,0.32372,0.54661,0.00,85701.83,79656.17,87812.92,0.089532,61992.48,42657.85,9821.81,2467.31,4792.61,2252.90,64894.57,0.312606,0.208780,0.036626,-0.036173,0.084044,0.160038,-0.035761,0.233523,0.036316,0.547819,0.125471,0.053765,0.031503,0.130639,0.056706,0.064816,0.008565,-0.015944,-0.003340,11.46082822,11.72446061,12.44926059,11.3638011,70348,,117397.00,46940.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,,379615.83,132653.97,78212.47,75390.48,2822.00,84836.00,0.00,29182.23,-13936.86,-5514.37,55473.99,0.00,14239.89,0.03,-14406.33,13360.48,0.00,0.00,0.00,0.00,0.00,87102.36,1212.57,4720.52,588.99,1762.81,2296.21,26844.84,7641.52,4818.28,2823.24,9280.28,5166.44,5747.21,894.78,-1553.49,-331.90,60257.52,47685.37,11014.55,1557.60,2146.59,45107.53,2577.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86709.77,429.81,69.63,106.86,0.00,0.00,0.00,0.00,0.00,0.00,510.88,0.00,0.00,0.00,0.00,0.00,0.00,101.63,101.63,5491.22,,0.00,874.72,8859.74,6103.73,2757.55,0.00,322.96,0.00,429.81,0.00,2148.02,732.00,503.55,0.00,206.00,0.00000,0.00000,0.00168,0.00979,0.10654,0.34013,0.54186,0.00,83953.76,78462.54,86227.64,0.084043,62292.34,42922.27,9604.24,2631.01,5041.01,2093.81,65813.86,0.349443,0.206031,0.035195,-0.037950,0.076873,0.146132,-0.036713,0.223479,0.037511,0.561990,0.129811,0.055317,0.032413,0.106545,0.060177,0.065982,0.009411,-0.017835,-0.003810,11.66326133,11.93155027,12.68866945,11.56452042,71615,,119035.00,47722.89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,,437015.35,174482.25,83115.27,80140.73,2974.54,91287.20,0.00,31028.20,-15181.02,-6116.88,58289.53,0.00,15591.62,0.03,-15975.06,14377.36,0.00,0.00,0.00,0.00,0.00,88843.92,1107.12,4832.86,503.70,1952.42,2543.19,27635.88,7808.49,4923.56,2884.93,9625.38,5467.72,5818.18,972.80,-1690.32,-366.37,61208.05,48599.04,11276.67,1332.34,1836.04,46190.70,2408.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88433.97,438.05,80.81,108.91,0.00,0.00,0.00,0.00,0.00,0.00,521.25,0.00,0.00,0.00,0.00,0.00,0.00,103.69,103.69,6025.91,,0.00,864.96,8992.74,6650.86,2343.46,0.00,329.14,0.00,438.05,0.00,1970.29,830.00,513.78,0.00,210.18,0.00000,0.00000,0.00084,0.00675,0.09877,0.35654,0.53710,0.00,86092.09,80066.18,87978.97,0.082233,63691.43,43526.46,9787.44,2752.66,5634.92,1989.94,69383.71,0.399259,0.190188,0.032899,-0.036555,0.071000,0.133381,-0.034738,0.208888,0.035678,0.559188,0.129751,0.055418,0.032472,0.108340,0.062504,0.065488,0.009988,-0.019026,-0.004124,11.75912375,12.02961781,12.86180919,11.65957127,72882,,120509.00,48444.95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,,462379.50,191832.33,87140.59,84013.51,3127.08,91264.41,0.00,33071.08,-16452.06,-6703.79,61729.16,0.00,16943.35,0.03,-17543.78,14394.42,0.00,0.00,0.00,0.00,0.00,95062.00,1365.00,5141.70,642.79,1973.00,2524.00,30018.49,7954.16,5015.41,2938.75,11235.47,5790.07,6094.72,1084.17,-1736.20,-403.90,65043.51,51408.00,11997.30,1638.21,2281.00,48820.13,2587.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94580.99,514.85,94.16,128.00,0.00,0.00,0.00,0.00,0.00,0.00,558.00,124.00,0.00,124.00,0.00,0.00,0.00,111.00,111.00,6718.00,,0.00,881.00,10171.00,7511.00,2662.00,0.00,386.85,0.00,514.85,0.00,2073.02,1179.00,550.00,0.00,225.00,0.00000,0.00000,0.00000,0.00370,0.09101,0.37295,0.53234,74.00,91920.99,85202.99,94181.00,0.062088,67280.00,46505.09,10060.43,2717.13,5880.18,2117.18,72489.05,0.414881,0.188461,0.031131,-0.037942,0.071524,0.133503,-0.035581,0.197380,0.036644,0.554756,0.129466,0.052759,0.030914,0.118191,0.061970,0.064113,0.010343,-0.018264,-0.004249,11.726995,11.99675,12.86180919,11.62771452,74112,,121878.00,49084.79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,414137.81,157341.20,86583.09,83275.93,3307.16,81052.27,0.00,31749.70,-16651.21,-6804.73,59655.35,0.00,18134.82,0.02,-17439.39,13711.97,0.00,0.00,0.00,0.00,0.00,84006.00,842.00,4097.70,593.09,2057.00,2597.00,25626.79,7647.71,4749.87,2897.84,8586.12,5384.78,5103.38,1087.93,-1780.46,-402.67,58379.21,47167.00,9561.30,1650.91,2244.00,45451.86,1715.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83537.67,506.85,101.48,140.00,0.00,0.00,0.00,0.00,0.00,0.00,599.00,226.00,0.00,226.00,0.00,0.00,0.00,110.00,110.00,7018.00,,0.00,906.00,9626.00,7953.00,1739.00,0.00,366.85,0.00,506.85,0.00,1208.29,1045.00,526.00,0.00,242.00,0.00000,0.00000,0.00000,0.00535,0.10998,0.36284,0.52183,73.00,81864.67,74846.67,83100.00,0.031745,60240.00,43067.30,7588.50,2558.93,5222.94,1802.32,61813.91,0.379925,0.209068,0.033110,-0.042110,0.076665,0.144047,-0.040207,0.195713,0.043789,0.577812,0.117129,0.056542,0.034496,0.102208,0.065252,0.060750,0.011798,-0.021194,-0.004793,12.19820368,12.47413166,13.19621623,12.14131536,75505,,123188.00,49750.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
